ID,RA2000,DE2000
"NGC 104",6.021666666666666,-72.08083333333332
"NGC 288",13.197916666666664,-26.589999999999996
"NGC 362",15.80958333333333,-70.84833333333333
"NGC 1261",48.06374999999999,-55.21694444444444
"Pal 1",53.345833333333324,79.58055555555555
"AM 1",58.76124999999999,-49.61444444444444
"Eridanus",66.18541666666665,-21.186944444444443
"Pal 2",71.52458333333333,31.380833333333328
"NGC 1851",78.52624999999999,-40.04722222222222
"NGC 1904",81.04416666666665,-24.524166666666662
"NGC 2298",102.24666666666666,-36.00527777777777
"NGC 2419",114.53541666666665,38.881944444444436
"Pyxis",136.9908333333333,-37.22138888888888
"NGC 2808",138.01083333333332,-64.86305555555555
"E 3",140.2470833333333,-77.28249999999998
"Pal 3",151.3808333333333,0.07138888888888888
"NGC 3201",154.4033333333333,-46.411111111111104
"Pal 4",172.31999999999996,28.973611111111108
"NGC 4147",182.5258333333333,18.541944444444443
"NGC 4372",186.43916666666664,-72.65916666666665
"Rup 106",189.66749999999996,-51.150277777777774
"NGC 4590",189.86666666666665,-26.742777777777775
"NGC 4833",194.89583333333331,-70.87472222222222
"NGC 5024",198.23041666666663,18.169166666666666
"NGC 5053",199.11249999999998,17.698055555555552
"NGC 5139",201.69124999999997,-47.476944444444435
"NGC 5272",205.54666666666662,28.37555555555555
"NGC 5286",206.61041666666665,-51.37333333333333
"AM 4",208.95874999999998,-27.172777777777775
"NGC 5466",211.36374999999998,28.53444444444444
"NGC 5634",217.40541666666664,-5.976388888888888
"NGC 5694",219.9020833333333,-26.53833333333333
"IC 4499",225.0770833333333,-82.2136111111111
"NGC 5824",225.99374999999998,-33.06777777777777
"Pal 5",229.0220833333333,-0.11138888888888887
"NGC 5897",229.3520833333333,-21.010277777777773
"NGC 5904",229.6408333333333,2.0827777777777774
"NGC 5927",232.0020833333333,-50.67277777777777
"NGC 5946",233.86874999999998,-50.65944444444444
"BH 176",234.78041666666664,-50.05055555555555
"NGC 5986",236.5145833333333,-37.786111111111104
"Lynga 7",242.76249999999996,-55.31444444444444
"Pal 14",242.77041666666662,14.958055555555553
"NGC 6093",244.26041666666663,-22.974999999999998
"NGC 6121",245.89791666666665,-26.525277777777774
"NGC 6101",246.45249999999996,-72.20166666666665
"NGC 6144",246.80874999999997,-26.02472222222222
"NGC 6139",246.9183333333333,-38.84888888888889
"Terzan 3",247.1670833333333,-35.35361111111111
"NGC 6171",248.13291666666663,-13.05361111111111
"1636-283",249.85624999999996,-28.397777777777772
"NGC 6205",250.42291666666662,36.460277777777776
"NGC 6229",251.74541666666664,47.52777777777777
"NGC 6218",251.81041666666664,-1.9477777777777776
"NGC 6235",253.3558333333333,-22.17722222222222
"NGC 6254",254.2870833333333,-4.099444444444444
"NGC 6256",254.8858333333333,-37.12138888888888
"Pal 15",255.00999999999996,-0.5419444444444443
"NGC 6266",255.30249999999995,-30.11222222222222
"NGC 6273",255.6570833333333,-26.268055555555552
"NGC 6284",256.11999999999995,-24.76472222222222
"NGC 6287",256.28916666666663,-22.708055555555553
"NGC 6293",257.5433333333333,-26.581666666666663
"NGC 6304",258.63541666666663,-29.46222222222222
"NGC 6316",259.1558333333333,-28.139999999999997
"NGC 6341",259.2804166666666,43.13638888888888
"NGC 6325",259.4966666666666,-23.76583333333333
"NGC 6333",259.7991666666666,-18.516388888888887
"NGC 6342",260.29249999999996,-19.58722222222222
"NGC 6356",260.8958333333333,-17.813055555555554
"NGC 6355",260.9941666666666,-26.353611111111107
"NGC 6352",261.3716666666666,-48.422777777777775
"Terzan 2",261.88916666666665,-30.802222222222216
"NGC 6366",261.9345833333333,-5.076666666666666
"Terzan 4",262.66208333333327,-31.595555555555553
"HP 1",262.77166666666665,-29.981666666666662
"NGC 6362",262.9783333333333,-67.04805555555555
"Liller 1",263.35208333333327,-33.388888888888886
"NGC 6380",263.6166666666666,-39.06916666666666
"Terzan 1",263.94916666666666,-30.469722222222217
"Ton 2",264.04375,-38.55333333333333
"NGC 6388",264.07083333333327,-44.73499999999999
"NGC 6402",264.4004166666666,-3.2458333333333327
"NGC 6401",264.65374999999995,-23.908888888888885
"NGC 6397",265.1720833333333,-53.67361111111111
"Pal 6",265.9258333333333,-26.222499999999997
"NGC 6426",266.2279166666666,3.1702777777777773
"Djorg 1",266.86791666666664,-33.06555555555555
"Terzan 5",267.0204166666666,-24.812499999999996
"NGC 6440",267.21916666666664,-20.359444444444442
"NGC 6441",267.55375,-37.051111111111105
"Terzan 6",267.69333333333327,-31.275277777777774
"NGC 6453",267.7158333333333,-34.598611111111104
"UKS 1",268.6133333333333,-24.145277777777775
"NGC 6496",269.75833333333327,-44.26499999999999
"Terzan 9",270.41166666666663,-26.839722222222218
"Djorg 2",270.4545833333333,-27.82583333333333
"NGC 6517",270.4608333333333,-8.958888888888888
"Terzan 10",270.7391666666666,-26.066666666666663
"NGC 6522",270.8920833333333,-30.033888888888885
